Tumor,Gene
CML,OR10A2
CML,OR10H1
CML,OR10H5
CML,OR14J1
CML,OR1A1
CML,OR1I1
CML,OR2A5
CML,OR2AT4
CML,OR2G6
CML,OR2L2
CML,OR2M3
CML,OR2T12
CML,OR4D9
CML,OR4F17
CML,OR52A1
CML,OR56A4
CML,OR5AS1
CML,OR6C75
CML,OR6Y1
CML,OR7A17
CML,OR7C1
CML,OR7D2
BRCA,OR10H1
BRCA,OR10H5
BRCA,OR14J1
BRCA,OR1A1
BRCA,OR1I1
BRCA,OR2A5
BRCA,OR2G6
BRCA,OR2L2
BRCA,OR2M3
BRCA,OR2T12
BRCA,OR4D9
BRCA,OR4F17
BRCA,OR5AS1
BRCA,OR5AU1
BRCA,OR6C75
BRCA,OR7C1
BRCA,OR10A2
BRCA,OR10G3
BRCA,OR10J1
BRCA,OR10K1
BRCA,OR1D2
BRCA,OR1M1
BRCA,OR2AG1
BRCA,OR2AG2
BRCA,OR2AT4
BRCA,OR2B11
BRCA,OR2F1
BRCA,OR2M4
BRCA,OR2V2
BRCA,OR4D1
BRCA,OR4K13
BRCA,OR4K17
BRCA,OR4K2
BRCA,OR51M1
BRCA,OR52A1
BRCA,OR52E4
BRCA,OR52I1
BRCA,OR52K1
BRCA,OR56A1
BRCA,OR56A4
BRCA,OR5A1
BRCA,OR5A2
BRCA,OR5H14
BRCA,OR6J1
BRCA,OR6K3
BRCA,OR6Y1
BRCA,OR7A17
BRCA,OR7D2
BRCA,OR7D4
BRCA,OR7G2
BRCA,OR8A1
BRCA,OR8B8
BRCA,OR8H1
ASTR,OR7D2
MEL,OR7D2
MEL,OR10G3
MEL,OR10H1
MEL,OR14J1
MEL,OR1A1
MEL,OR1D2
MEL,OR1I1
MEL,OR2A5
MEL,OR2AT4
MEL,OR2M3
MEL,OR4D9
MEL,OR4F17
MEL,OR5AS1
MEL,OR6C75
MEL,OR6K3
LUAD,OR10G3
LUAD,OR10H1
LUAD,OR10H5
LUAD,OR10K1
LUAD,OR14J1
LUAD,OR1A1
LUAD,OR1D2
LUAD,OR1I1
LUAD,OR1M1
LUAD,OR2A5
LUAD,OR2AT4
LUAD,OR2F1
LUAD,OR2G6
LUAD,OR2L2
LUAD,OR2M3
LUAD,OR2V2
LUAD,OR4D9
LUAD,OR4F17
LUAD,OR51B5
LUAD,OR51L1
LUAD,OR52I1
LUAD,OR56A1
LUAD,OR5A1
LUAD,OR5AS1
LUAD,OR6C75
LUAD,OR6K3
LUAD,OR6Y1
LUAD,OR7C1
LUAD,OR7D2
LUAD,OR7G2
LUAD,OR8A1
RCC,OR10G3
RCC,OR10H1
RCC,OR10H5
RCC,OR10K1
RCC,OR14J1
RCC,OR1A1
RCC,OR1D2
RCC,OR1I1
RCC,OR1M1
RCC,OR2A5
RCC,OR2AT4
RCC,OR2B11
RCC,OR2F1
RCC,OR2G6
RCC,OR2L2
RCC,OR2M3
RCC,OR2M4
RCC,OR2T12
RCC,OR2V2
RCC,OR4D1
RCC,OR4D9
RCC,OR4F17
RCC,OR51M1
RCC,OR52E4
RCC,OR52I1
RCC,OR52K1
RCC,OR52N1
RCC,OR56A1
RCC,OR5A1
RCC,OR5A2
RCC,OR5AS1
RCC,OR5H1
RCC,OR5H14
RCC,OR6C75
RCC,OR6J1
RCC,OR6K3
RCC,OR6Y1
RCC,OR7A17
RCC,OR7C1
RCC,OR7D2
RCC,OR7D4
RCC,OR7G2
RCC,OR8A1
GBM,OR4F17
