genes,SRR2973353,SRR2973354,SRR2973355,SRR2973356,SRR2973357,SRR2973358,SRR2973360,SRR2973361,SRR2973365,SRR2973366,SRR2973367,SRR2973368,SRR2973369,SRR2973386,SRR2973393,SRR2973396,SRR2973397,SRR2973400,SRR2973404,SRR2973409,SRR2973416,SRR2973417,SRR2973433
A1BG,9.355558,78.231539,4.725164,23.215224,25.652418,43.51946,29.11938,14.976967,13.554201,0.964301,18.07338,7.665218,30.873786,19.63373,5.055967,26.460552,13.422856,2.47176,23.031162,28.751444,17.142695,0,6.443196
A2ML1,0.739235,3.2655,2.291002,1.784338,0.391838,0.601905,1.733751,0.346661,0.102166,0,11.39078,1.00E-06,0.117324,0,1.289869,0.126524,0.187469,0.301152,2.134922,0.630475,3.237231,0,0
A4GALT,26.25896,29.104749,16.573387,28.857254,5.770684,60.875826,10.968769,23.919809,10.542132,17.312896,36.859044,22.655997,6.626367,19.313182,17.895029,3.426708,7.691967,18.559145,5.130407,6.693911,38.923817,0,22.397236
AACS,42.619363,43.843605,122.721794,82.300758,28.304312,76.872493,16.334091,26.134965,89.333678,5.356512,6.001361,38.010397,59.366108,5.473023,24.9148,30.355979,140.156322,17.647579,18.646253,61.224186,9.161914,1.969702,41.192312
AAGAB,5.598177,6.649385,3.75541,0,0,0,0,0,10.102329,40.759997,0,0,5.435995,0,22.88549,15.79833,2.044485,3.147599,2.665491,2.173097,0,0,0.481663
AAK1,1.599101,7.145317,13.298977,5.413034,20.938209,1.28714,53.249459,57.932546,26.478561,2.877343,50.771623,28.555336,7.719069,3.807104,1.596453,6.285111,2.971743,2.588956,19.583477,17.417246,5.82438,0,3.782064
AAMDC,35.81345,127.161054,97.346936,25.252255,22.620566,88.560626,80.179873,4.649011,26.530438,0.669941,3.994696,9.727459,219.858019,200.299958,22.676778,4.801418,176.704163,36.9787,8.744259,40.266408,57.634281,0,65.378935
AAMP,0.691178,0,70.210538,35.461076,57.007198,0,74.431059,186.0378,49.170669,2.279905,5.956971,0,49.168395,13.613613,45.841803,41.542839,0,1.452325,0,1.470692,0,151.148918,0.823291
AAR2,1.117847,2.991353,4.478344,0.503884,41.46985,2.686433,3.417058,20.075403,3.562926,3.295258,0.38637,0,41.507504,1.719987,40.372654,6.583159,7.879188,22.794052,0.524326,0,1.469358,0,1.641463
AARD,4.162676,114.226985,0.561603,1.917987,2.205665,0,0.183663,0.547934,2.977412,3.733672,0,5.541647,3.333418,8.808373,2.485955,0,0,0.827003,1.137235,35.442219,0.11344,0.095864,5.118427
AARS,28.649672,7.234183,21.773186,150.74434,13.878526,4.279621,7.921231,3.777216,232.36663,2.634785,3.868566,1.580472,99.844741,2.799992,6.478782,99.531852,4.32019,73.515392,14.957942,68.663446,0,13.072285,4.550672
AARS2,0.977459,0.341685,0.106082,0,0,0.120259,2.503994,0.438246,0,0.647528,2.147109,0.472288,0.129024,0.277994,0.703862,1.596813,0.957303,0.387298,53.364867,0,1.844696,0,0
AARSD1,461.849607,76.354067,48.7194,188.532781,44.695794,349.375232,73.182771,153.15027,321.86065,227.804952,142.453752,64.850849,64.928839,52.444752,174.63184,449.384678,35.797026,101.13355,52.513554,421.204014,176.062082,278.115991,187.123288
AASDH,17.374456,0,0,0,4.887148,6.172732,2.779128,0.363456,0,0,61.299777,0,1.388703,0,0.323256,0,0.094448,1.894444,6.51463,0,0.51867,34.915255,35.401268
AASDHPPT,53.036286,37.123017,138.260049,85.326086,36.725231,12.688177,95.76586,0.199183,1.512111,1.021336,135.186934,86.714871,42.579333,170.479593,15.47095,80.877984,37.8316,86.783392,5.071628,18.279664,8.761558,92.920571,169.815917
AATF,0,0,0,58.477726,0,0,0,7.098543,145.384833,165.698731,0.194068,0,0,0,0,1.664324,0,2.002831,0,0,0,0,0
ABAT,1.979195,8.499759,1.191047,0,3.278518,0,16.596012,9.57365,0.45746,68.565717,2.973722,8.819598,0,207.218141,18.399761,1.295683,6.778686,50.773757,3.963269,5.179975,26.266952,0.762522,6.240119
ABCA13,0.101374,0.165742,0.133654,0.126362,7.069501,0.074207,14.49735,11.624908,0.073378,0.062494,9.851668,0.070754,0,0.813992,0.082145,0.247439,0.073239,0.105079,0,1.127591,22.426779,0,0.341473
ABCA5,21.388014,0.277104,0,5.378803,23.238394,99.829679,36.903048,10.862369,0.076402,19.343989,0,42.969192,9.233967,35.25873,2.54296,0.575624,41.741433,8.731511,20.818181,0,0,0.087613,3.159295
ABCA6,2.802582,0.162151,1.208047,0.086234,0.48345,0.248234,1.187436,0.074318,0.081816,0.363202,0.462174,0.12594,0.131486,0.031826,2.409795,0.368773,2.43959,0.069674,0.040909,4.846063,0.211914,0.031287,16.051462
ABCA9,0.255484,6.540247,0.917394,11.811467,3.223517,11.791506,5.799375,9.080222,0.110908,30.414373,0.536649,2.428293,2.993196,0.102633,2.508444,9.076758,52.955134,1.053964,12.269753,2.684686,24.156743,0,0
ABCB7,113.902796,16.216159,58.258178,1.223055,197.840578,3.450173,3.177026,1.669436,11.985435,0.477179,0.536321,109.005934,1.908326,44.45036,0.24808,13.120414,200.01835,6.594861,10.434702,263.372922,0.767994,11.889413,12.121124
ABCB8,0.357106,5.391356,27.121991,0,1.751486,1.561636,1.450022,0.322497,0.679694,0.111555,120.827538,0.170208,19.70147,41.030033,0,4.117375,116.789434,0,0.187873,19.520804,20.905855,0,0.138541
ABCB9,17.263223,0.722527,0.191862,13.509041,17.964007,0.926936,6.643052,9.387535,33.379401,2.874952,6.283273,11.069627,11.491057,0.950417,3.842971,20.456521,0.336261,11.974722,7.449622,4.947577,23.438843,0,1.455686
ABCC1,23.739365,0,0,0,0.282167,0,31.189505,1.750112,0,0,0,0,1.2666,0,0,0,0,10.604215,3.15571,0.410602,0,0,61.813761
ABCC10,10.244265,10.471845,0,1.440316,73.105429,29.835405,0,11.469352,4.049272,9.559993,0.356282,4.613989,7.744213,2.208298,15.226706,9.156994,0,1.011931,38.734784,30.958593,2.451707,0,0
ABCC3,1.450585,2.883187,62.65739,3.880723,2.654412,5.9522,0.419381,6.394989,4.792929,0,25.201749,38.505789,9.610998,10.299688,33.984796,0,15.939851,0.920049,3.19872,4.988589,0.846289,0,15.373564
ABCC4,19.87264,3.457465,0.311406,0.108686,0.048922,0.495704,4.174327,0.643643,6.112668,3.847525,0.179892,10.107516,0.084518,0.231174,13.263176,7.037127,11.202037,0.111328,0,1.07627,0.247912,0.030465,0
ABCC5,4.149456,197.311744,1.087581,70.837479,4.526605,0,59.43401,1.869124,4.534585,0,17.338799,6.938268,74.943923,0.22108,24.794839,0,24.104945,0,0,0,0.425577,0.117654,36.756354
ABCC9,2.754844,1.293906,0.99175,0.893004,0.791263,0.243917,0.325403,1.873955,5.175578,0.682566,0.071722,1.246392,0.623988,1.126321,1.426433,0.099787,0.22261,0.718056,2.239426,0.531148,6.843757,0,1.36944
ABCD3,97.93934,100.209341,35.611519,3.178263,155.270821,16.78497,16.66752,318.796075,34.021169,0.181377,8.337877,117.414584,201.621628,52.36267,0.978647,54.641275,63.448036,36.110709,36.336185,22.512872,7.965237,0,6.078766
ABCD4,15.058058,204.377173,35.380941,0,2.371858,104.546178,7.611761,5.741474,18.336173,2.875082,0.383278,14.872715,1.307882,0.411852,1.867419,75.642266,0.554729,1.716876,0,6.054758,30.51939,0,32.028885
ABCE1,34.749275,28.284607,40.663633,121.236159,91.129683,85.87068,0,0.237967,39.303547,0,155.866763,24.30901,100.732037,15.212579,42.595802,12.09606,1.206472,194.143683,17.001705,2.828394,2.045231,33.9272,0.104389
ABCF1,145.735597,195.166657,183.350081,49.986201,146.297206,16.78173,36.109346,187.745208,157.55869,34.497057,227.789743,115.90806,89.257688,80.59534,18.531052,227.313086,274.251336,85.175105,82.106437,34.367172,110.40024,181.635923,86.320024
ABCF3,31.473982,0,0,0,2.342638,155.849858,30.950796,17.751639,0,0,3.245506,0.325145,19.301558,4.327548,17.689639,0,1.427489,18.19927,138.906415,7.781378,15.729233,0,10.510764
ABCG1,1.153255,12.495058,28.06669,0.924113,2.579297,0.417168,1.230572,8.457311,6.314072,0.247097,0,0.876105,13.701802,14.655807,0.392361,0.860384,3.7992,0.095729,3.280409,0,4.395817,0,0
ABCG8,3.646967,1.119652,2.458426,4.268746,3.761547,1.382863,3.168056,2.441783,0.830825,1.355443,10.488627,0.381389,1.914335,2.184772,3.147086,0.885157,0.287011,1.210036,0.849738,2.098586,0.450192,0,0.160874
ABHD1,0.942794,0.909281,1.253035,0.239634,1.399217,0.602864,3.277118,0.403984,0.1123,0.229359,1.458453,0.250268,3.894287,0.441137,4.809286,1.710887,0.384529,0.906576,1.693111,0.400559,0.46311,0,0.972691
ABHD10,0,16.690419,0,39.112527,0,0,2.235242,11.123989,0,0.816031,0,0,0.88852,0.1135,2.701484,4.790982,0,31.074725,5.63062,0,0,0,0.854762
ABHD11,8.374553,157.317404,27.87004,5.257085,67.180017,3.810342,75.381964,159.640324,31.276984,31.60648,57.30987,2.14826,8.578796,4.40541,86.898522,49.39777,2.312788,0,27.811993,26.860326,44.119721,0,1.016464
ABHD12,0,34.195842,9.34646,35.621625,2.105502,0,0,0,0,0,0,0,0,77.19933,18.47946,32.6492,1.755208,0,3.197283,0,0,0,1.836402
ABHD16A,20.128214,0,87.655165,0,0,0,43.414845,0,19.30181,5.901777,0,38.982207,14.154806,39.55529,15.463065,58.602304,0,43.779622,0.845801,83.247481,0,80.070778,102.899605
ABHD17B,1.546512,57.005004,1.429612,10.375243,0,0.245924,2.129742,4.443575,7.613653,0,0.428069,0.518934,0,0,7.175073,4.284082,0,23.574765,1.478859,0,3.911304,0,0.749623
ABHD17C,8.087132,7.302985,24.967561,2.279773,54.195297,0,0,14.319423,9.610784,0,28.324103,94.472523,24.415545,72.349564,0,14.129204,0,32.070922,0,0,0,0.094488,0
ABHD18,0.30071,0.374918,1.105317,1.052602,1.058144,1.563272,0.777623,1.170348,0.373505,0.595915,1.865463,0.892211,0.632368,1.414891,35.195259,3.434453,51.277366,2.209208,3.471504,75.855967,0.806972,0,0.311077
ABHD2,6.312355,2.844547,0.034814,0.047289,0.383156,0.152084,1.203995,26.739816,0,1.688214,1.849849,0.187549,0.059552,1.426041,0.442325,0,0,4.724696,3.237035,10.720461,0.09307,0,1.875602
ABHD3,130.845384,10.26204,123.485382,223.187668,23.735282,224.343807,50.994797,47.742604,21.787997,0,0.212574,5.225792,99.607842,0.166362,39.549617,0,57.607313,12.544587,0.413754,0,8.000178,0,30.776048
ABHD5,25.097467,10.836434,18.44079,10.887589,2.63116,24.939743,23.914938,101.175963,55.663029,0,17.695703,1.213315,43.272738,4.464438,138.45099,41.80472,273.235179,10.995643,65.470615,218.956685,14.571757,31.947886,78.805525
ABI1,117.793667,75.024182,64.473737,48.781075,52.33988,0.193868,144.661257,47.614509,24.514802,19.955573,0.483308,31.981726,80.586378,72.637942,13.993209,42.424375,11.614459,47.353923,68.21513,46.625483,14.087654,0.124761,3.578126
ABI2,8.94502,35.033291,24.189426,0.535898,213.906858,23.298856,6.19289,149.034026,1.717699,27.320336,4.267566,2.998762,66.088111,19.065466,7.193712,19.187603,37.527634,0.318592,59.337069,24.579567,5.325569,0.762523,88.952163
ABI3BP,0,26.6612,0.075148,4.097383,0,0.301514,0,9.051474,9.350286,2.322622,1.292814,0.085305,9.114089,5.689653,13.323701,10.633097,7.411572,0,1.320487,0,23.217434,0,6.40529
ABL2,0.295426,1.224646,0.423482,0.0446,55.892828,0.228837,2.909949,3.217377,0.821808,5.447063,0.025846,11.434648,1.440758,0.416984,9.034853,8.223484,5.212366,2.300528,1.909788,5.554174,0.165785,15.143802,2.607429
